fixed acidity,volatile acidity,citric acid,residual sugar,quality
11.2,0.28,0.56,1.9,6
7.3,0.65,0.0,1.2,7
7.8,0.58,0.02,2.0,7
8.5,0.28,0.56,1.8,7
7.9,0.32,0.51,1.8,6
6.9,0.4,0.14,2.4,6
7.8,0.645,0.0,2.0,6
7.8,0.645,0.0,5.5,6
7.8,0.6,0.14,2.4,6
8.1,0.38,0.28,2.1,7
8.8,0.61,0.3,2.8,4
7.5,0.49,0.2,2.6,6
4.6,0.52,0.15,2.1,4
6.6,0.52,0.04,2.2,6
6.6,0.5,0.04,2.1,6
7.6,0.51,0.15,2.8,6
7.3,0.39,0.31,2.4,6
8.0,0.705,0.05,1.9,6
8.3,0.675,0.26,2.1,4
6.8,0.785,0.0,2.4,6
8.3,0.625,0.2,1.5,4
6.3,0.3,0.48,1.8,6
8.6,0.49,0.28,1.9,6
8.6,0.49,0.28,1.9,6
5.0,1.02,0.04,1.4,4
8.1,0.545,0.18,1.9,6
8.3,0.61,0.3,2.1,6
8.1,0.545,0.18,1.9,6
10.1,0.31,0.44,2.3,6
9.4,0.4,0.31,2.2,6
8.3,0.54,0.28,1.9,6
8.8,0.55,0.04,2.2,6
8.0,0.59,0.16,1.8,7
7.9,1.04,0.05,2.2,6
5.2,0.34,0.0,1.8,6
5.2,0.34,0.0,1.8,6
6.9,0.49,0.1,2.3,6
7.3,0.33,0.47,2.1,6
9.2,0.52,1.0,3.4,4
6.8,0.6,0.18,1.9,6
7.6,0.68,0.02,1.3,4
7.8,0.53,0.04,1.7,6
7.3,0.55,0.03,1.6,4
6.8,0.63,0.07,2.1,6
7.9,0.885,0.03,1.8,4
8.0,0.42,0.17,2.0,6
7.4,0.62,0.05,1.9,6
7.5,0.52,0.42,2.3,6
6.7,0.62,0.21,1.9,6
6.4,0.37,0.25,1.9,6
11.5,0.3,0.6,2.0,6
6.9,1.09,0.06,2.1,4
9.6,0.32,0.47,1.4,7
7.0,0.43,0.36,1.6,6
12.8,0.3,0.74,2.6,7
12.8,0.3,0.74,2.6,7
9.7,0.53,0.6,2.0,6
8.0,0.725,0.24,2.8,6
7.8,0.735,0.08,2.4,6
7.8,0.34,0.37,2.0,6
8.6,0.645,0.25,2.0,6
7.7,0.43,0.25,2.6,6
8.9,0.59,0.5,2.0,6
5.2,0.48,0.04,1.6,7
8.0,0.38,0.06,1.8,6
8.5,0.37,0.2,2.8,6
8.2,1.0,0.09,2.3,6
7.2,0.63,0.0,1.9,6
12.0,0.38,0.56,2.1,6
7.7,0.58,0.1,1.8,6
15.0,0.21,0.44,2.2,7
15.0,0.21,0.44,2.2,7
7.3,0.66,0.0,2.0,6
7.3,0.66,0.0,2.0,6
10.8,0.32,0.44,1.6,6
7.1,0.6,0.0,1.8,6
10.0,0.31,0.47,2.6,7
7.0,0.975,0.04,2.0,4
8.1,0.87,0.0,3.3,4
6.9,0.54,0.04,3.0,6
11.5,0.18,0.51,4.0,6
7.9,0.545,0.06,4.0,6
7.9,0.545,0.06,4.0,6
6.9,0.54,0.04,3.0,6
11.5,0.18,0.51,4.0,6
8.9,0.4,0.32,5.6,7
11.4,0.26,0.44,3.6,6
7.7,0.27,0.68,3.5,7
8.9,0.4,0.32,5.6,7
12.0,0.45,0.55,2.0,6
7.5,0.4,0.12,3.0,6
8.7,0.52,0.09,2.5,7
8.7,0.52,0.09,2.5,7
10.4,0.55,0.23,2.7,6
6.9,0.36,0.25,2.4,6
13.3,0.34,0.52,3.2,6
7.5,0.53,0.06,2.6,6
11.1,0.18,0.48,1.5,6
10.3,0.41,0.42,2.4,6
10.3,0.43,0.44,2.4,6
7.9,0.53,0.24,2.0,6
9.0,0.46,0.31,2.8,6
9.8,0.66,0.39,3.2,7
9.6,0.77,0.12,2.9,6
10.0,0.49,0.2,11.0,6
10.0,0.49,0.2,11.0,6
11.6,0.53,0.66,3.65,7
13.4,0.27,0.62,2.6,6
7.9,0.65,0.01,2.5,7
11.9,0.695,0.53,3.4,7
8.9,0.43,0.45,1.9,6
12.5,0.28,0.54,2.3,7
10.9,0.39,0.47,1.8,6
10.9,0.39,0.47,1.8,6
11.9,0.57,0.5,2.6,6
13.8,0.49,0.67,3.0,6
9.6,0.56,0.31,2.8,6
9.1,0.795,0.0,2.6,6
6.1,0.21,0.4,1.4,6
6.7,0.75,0.01,2.4,6
10.5,0.42,0.66,2.95,7
11.9,0.43,0.66,3.1,7
12.6,0.38,0.66,2.6,6
8.6,0.45,0.31,2.6,6
12.8,0.615,0.66,5.8,7
12.8,0.615,0.66,5.8,7
9.4,0.27,0.53,2.4,7
7.9,0.24,0.4,1.6,6
9.1,0.28,0.48,1.8,6
11.5,0.45,0.5,3.0,6
9.4,0.27,0.53,2.4,7
11.4,0.625,0.66,6.2,6
8.3,0.26,0.42,2.0,6
7.8,0.46,0.26,1.9,6
13.7,0.415,0.68,2.9,6
12.0,0.37,0.76,4.2,7
11.5,0.59,0.59,2.6,6
12.2,0.48,0.54,2.6,6
11.4,0.6,0.49,2.7,6
9.8,0.44,0.47,2.5,6
12.0,0.39,0.66,3.0,7
12.5,0.46,0.49,4.5,4
9.0,0.43,0.34,2.5,6
9.9,0.4,0.53,6.7,7
10.6,0.48,0.64,2.2,6
11.9,0.38,0.51,2.0,6
6.6,0.84,0.03,2.3,7
10.5,0.24,0.47,2.1,7
6.6,0.84,0.03,2.3,7
6.4,0.67,0.08,2.1,6
9.5,0.78,0.22,1.9,6
12.8,0.84,0.63,2.4,6
10.5,0.24,0.47,2.1,7
10.4,0.41,0.55,3.2,6
8.0,0.67,0.3,2.0,6
11.1,0.45,0.73,3.2,6
15.6,0.685,0.76,3.7,7
5.3,0.57,0.01,1.7,7
8.6,0.53,0.22,2.0,6
11.9,0.39,0.69,2.8,6
11.9,0.39,0.69,2.8,6
6.8,0.56,0.03,1.7,6
10.4,0.33,0.63,2.8,7
9.2,0.43,0.52,2.3,6
11.5,0.315,0.54,2.1,6
10.3,0.5,0.42,2.0,6
8.8,0.46,0.45,2.6,6
11.4,0.36,0.69,2.1,6
9.6,0.54,0.42,2.4,6
12.5,0.37,0.55,2.6,6
10.4,0.24,0.49,1.8,6
9.4,0.685,0.11,2.7,6
10.2,0.645,0.36,1.8,6
9.3,0.39,0.4,2.6,6
9.2,0.41,0.5,2.5,7
8.9,0.4,0.51,2.6,7
8.7,0.69,0.31,3.0,6
6.5,0.39,0.23,8.3,6
7.8,0.52,0.25,1.9,6
8.7,0.69,0.31,3.0,6
7.8,0.52,0.25,1.9,6
10.4,0.44,0.73,6.55,7
10.4,0.44,0.73,6.55,7
10.5,0.24,0.42,1.8,7
10.2,0.49,0.63,2.9,7
10.4,0.24,0.46,1.8,7
11.2,0.67,0.55,2.3,6
13.3,0.29,0.75,2.8,7
10.0,0.59,0.31,2.2,6
10.7,0.4,0.48,2.1,6
10.5,0.51,0.64,2.4,7
10.5,0.51,0.64,2.4,7
12.5,0.6,0.49,4.3,6
9.8,0.25,0.49,2.7,6
7.0,0.38,0.49,2.5,6
9.1,0.22,0.24,2.1,6
10.3,0.27,0.24,2.1,6
10.0,0.48,0.24,2.7,6
